;за январь 2025 года;;;;;за февраль 2025 года;;;;;за март 2025 года;;;;;за апрель 2025 года;;;;;за май 2025 года;;;;;за июнь 2025 года;;;;;за июль 2025 года;;;;;за август 2025 года;;;;;за сентябрь 2025 года;;;;;за октябрь 2025 года;;;;;за ноябрь 2025 года;;;;;;;;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;;;;;
;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Карагандинская ;95 784;33 223;0;62 558;3;123 338;31 757;5 152;76 401;10 027;137 207;35 061;15;79 715;22 415;159 694;46 948;15;91 249;21 482;150 174;45 219;41;86 590;18 324;159 704;50 180;0;89 987;19 537;147 815;45 913;0;91 273;10 628;138 888;44 737;0;94 151;1;148 393;50 669;5 660;92 063;1;186 629;49 937;26 959;85 618;24 115;124 190;43 049;59;81 078;4;;;;;
Костанайская;54 170;15 800;129;38 241;0;65 981;20 979;61;44 940;0;71 476;21 291;94;50 091;0;97 384;28 869;10;68 504;0;79 998;27 152;0;52 846;0;77 913;25 169;205;52 540;0;85 519;31 306;0;54 212;0;77 640;22 425;0;55 215;0;79 436;25 724;1 563;52 149;0;82 368;25 369;585;56 414;0;83 092;28 776;544;53 772;0;;;;;
Кызылординская;48 303;10 418;0;37 885;0;60 799;11 536;0;49 263;0;59 064;12 677;0;46 387;0;63 924;12 745;0;51 180;0;61 100;12 116;0;48 984;0;70 089;12 402;0;57 687;0;78 808;13 138;0;65 670;0;72 479;12 361;0;60 118;0;75 922;14 736;0;61 186;0;64 825;13 788;0;51 037;0;63 950;13 605;0;50 346;0;;;;;
Мангистауская;61 262;14 323;705;46 038;197;74 314;13 416;1 083;54 763;5 053;73 318;16 334;1 478;55 506;0;82 837;16 140;1 154;65 461;82;78 701;18 444;1 656;58 553;49;86 002;18 299;814;64 815;2 073;84 285;17 162;1 359;65 134;630;90 432;17 952;1 632;69 049;1 799;85 005;18 706;1 144;65 154;0;82 100;17 208;1 074;63 817;1;84 025;16 731;1 983;63 861;1 451;;;;;
Павлодарская;58 236;21 626;0;36 611;0;72 784;23 980;0;48 804;0;81 861;30 954;0;50 907;0;89 162;28 559;0;60 603;0;81 142;29 471;0;51 671;0;86 355;29 407;0;56 948;0;78 966;24 232;0;54 734;0;91 319;32 566;0;57 677;1 076;93 605;30 369;0;63 236;0;84 849;30 946;0;53 903;0;79 902;26 685;0;53 218;0;;;;;
Северо-Казахстанская;34 286;11 242;707;22 336;0;34 236;12 812;698;20 727;0;36 965;13 353;624;22 988;0;47 283;20 772;669;25 842;0;43 432;16 582;1 261;21 862;3 727;44 294;16 690;1 364;26 239;0;40 173;13 951;778;25 444;0;42 661;16 185;1 024;25 452;0;39 627;15 451;842;23 334;0;39 342;16 748;447;22 148;0;40 959;12 981;1 294;26 684;0;;;;;
Туркестанская;47 814;8 970;;38 844;;54 987;8 747;;46 241;;53 193;8 803;0;44 390;;56 458;10 985;0;45 473;;55 409;10 867;;44 542;;64 933;11 085;;53 848;0;66 783;10 610;0;56 173;0;67 368;10 410;0;56 958;0;68 219;12 288;;55 932;0;63 876;13 616;;50 261;0;59 582;10 278;;49 304;0;;;;;
 Улытау;11 342;2 091;;9 251;0;12 078;2 241;;9 837;0;13 937;2 820;;11 117;0;15 034;2 637;;12 397;0;14 699;2 895;;11 804;0;16 148;3 112;;13 036;0;16 169;3 122;;13 046;0;16 354;3 207;;13 147;0;16 398;2 979;;13 419;0;13 558;2 871;;10 687;0;15 723;4 943;;10 780;0;;;;;
г. Алматы;1 076 037;536 008;109 508;425 983;4 538;1 460 956;702 382;163 598;523 582;71 394;1 325 741;650 705;99 191;532 388;43 457;1 577 612;785 468;140 991;613 783;37 371;1 412 345;681 676;117 069;574 151;39 448;1 572 146;703 040;169 305;633 969;65 831;1 623 341;689 211;145 843;644 114;144 172;1 538 465;712 111;153 659;633 259;39 435;1 620 421;699 326;202 913;663 612;54 570;1 757 552;665 885;373 342;594 981;123 343;1 465 535;618 834;194 654;589 876;62 171;;;;;
г. Астана;288 638;64 243;10 372;184 683;29 340;385 225;74 612;79 431;227 908;3 273;404 978;66 986;82 052;224 929;31 011;487 878;118 696;97 327;271 354;501;557 575;124 910;133 822;255 741;43 102;403 473;97 355;13 493;285 882;6 744;518 841;75 040;127 364;265 412;51 025;608 084;100 743;2 767;295 699;208 875;620 341;97 423;8 198;312 555;202 165;406 064;95 507;31 632;260 119;18 806;645 595;128 541;5 138;296 367;215 549;;;;;
