Всего по республике:;2 365 416;843 189;69 591;1 400 807;51 828;2 914 555;961 140;140 519;1 707 820;105 076;2 630 123;1 050 233;153 730;1 388 872;37 288;2 870 413;1 177 159;196 770;1 447 545;48 940;2 780 829;1 154 223;142 751;1 446 012;37 843;3 040 089;1 131 723;222 603;1 616 356;69 407;3 132 601;1 218 212;121 928;1 744 267;48 194;3 109 071;1 195 678;138 904;1 683 783;90 705;3 211 820;1 264 445;119 416;1 701 190;126 769;3 178 487;1 140 933;199 014;1 774 378;64 162;3 638 089;1 404 328;192 869;1 858 438;182 454;4 023 903;1 383 778;309 770;2 206 055;124 300;36 895 396;13 925 042;2 007 865;19 975 521;986 967
Жетысу;46 545;8 225;0;38 319;0;59 650;10 147;0;49 279;224;55 083;12 894;0;42 190;0;60 563;13 506;0;47 057;0;58 498;13 522;0;44 976;0;63 950;13 401;0;50 548;0;71 734;15 711;0;53 559;2 464;68 939;14 416;0;54 523;0;66 770;15 652;0;51 118;0;68 655;15 518;0;53 137;0;79 560;15 739;0;63 821;0;85 146;16 974;;68 172;0;785 092;165 705;0;616 699;2 688
Западно-Казахстанская;57 532;23 567;145;33 820;0;63 258;22 599;312;40 347;0;59 997;24 455;239;35 303;0;72 766;32 826;837;39 102;0;71 422;32 930;704;37 781;7;69 257;24 455;1 082;43 718;2;74 835;29 694;43;45 098;0;73 902;29 528;62;44 312;0;72 880;30 951;7;41 921;0;73 758;31 284;254;42 219;0;85 711;36 529;176;49 006;0;86 254;30 192;1 274;54 788;0;861 571;349 009;5 137;507 416;9
Карагандинская ;92 433;23 235;0;69 198;0;114 842;31 489;0;83 342;11;104 179;30 869;0;73 310;1;246 099;42 933;124 876;78 286;3;143 858;41 142;19 952;82 763;1;150 548;38 569;23 879;88 095;4;154 800;37 871;25 149;91 777;4;130 899;40 646;3 917;86 336;0;127 635;47 387;0;80 248;0;127 853;43 742;54;84 042;16;136 726;39 456;0;91 747;5 523;159 284;56 238;0;103 043;3;1 689 156;473 577;197 826;1 012 186;5 566
Костанайская;52 244;10 223;0;42 020;0;62 873;12 552;0;50 021;299;69 788;26 991;0;42 797;0;68 507;28 355;0;40 152;0;62 242;20 371;0;41 871;0;62 085;16 828;293;44 964;0;70 520;19 921;1;50 599;0;72 827;22 802;0;50 026;0;72 338;26 397;118;45 824;0;69 139;18 796;0;50 343;0;78 388;22 685;356;55 348;0;85 339;22 950;57;62 332;0;826 291;248 870;825;576 296;299
Кызылординская;43 690;8 475;0;35 215;0;54 184;9 390;0;44 794;0;52 093;12 298;0;39 795;0;58 865;14 411;0;44 454;0;54 713;11 712;0;43 000;0;62 548;12 675;0;49 873;0;67 808;13 726;0;54 081;0;64 520;12 909;0;51 611;0;61 742;14 688;0;47 055;0;64 337;12 714;0;51 623;0;68 971;13 889;0;55 083;0;73 614;14 893;0;58 721;0;727 085;151 780;0;575 305;0
Мангистауская;57 625;9 363;446;47 808;8;71 863;8 952;676;61 225;1 010;65 920;14 705;666;50 312;239;66 749;13 845;302;51 912;689;73 871;15 513;89;56 102;2 167;74 448;13 980;827;59 378;263;75 748;15 704;0;59 972;71;76 006;15 228;953;59 817;8;76 200;21 677;653;53 870;0;77 228;16 733;821;59 270;404;82 170;17 263;2 809;61 818;281;81 750;16 845;1 756;62 457;692;879 578;179 808;9 997;683 940;5 832
Павлодарская;58 523;22 480;0;36 043;0;75 183;27 381;0;47 802;0;73 156;30 385;0;42 771;0;75 937;30 337;0;45 600;0;72 458;29 552;0;42 906;0;75 018;27 139;0;47 879;0;78 660;27 380;0;51 280;0;83 508;35 225;0;48 283;0;71 690;26 444;0;45 246;0;74 585;26 209;0;48 375;0;80 387;27 452;0;52 934;0;88 557;29 614;0;58 943;0;907 663;339 599;1;568 064;0
Северо-Казахстанская;27 383;8 291;905;18 126;61;29 225;6 414;274;22 429;108;35 559;12 998;378;22 183;0;34 368;14 149;806;19 412;0;31 741;12 979;333;18 429;0;37 750;15 960;794;20 995;0;35 631;12 648;472;22 511;0;36 781;12 487;667;23 627;0;35 590;15 671;757;19 163;0;38 106;14 091;828;23 188;0;39 306;15 028;931;23 346;0;50 832;16 649;362;33 821;0;432 272;157 365;7 508;267 231;169
Туркестанская;42 247;5 442;0;36 805;0;52 598;5 630;0;46 969;;50 103;8 196;0;41 907;0;57 858;12 132;0;45 726;;54 089;8 782;0;45 306;;60 434;7 928;0;52 506;;68 000;9 817;472;57 711;;62 485;8 809;0;53 676;;56 013;9 567;;46 446;;53 682;8 878;0;44 804;;60 186;8 914;0;51 272;;63 846;8 871;;54 975;;681 542;102 967;472;578 103;0
 Улытау;12 595;1 959;;10 636;0;14 022;2 071;;11 951;0;13 600;2 650;;10 950;0;15 825;3 088;;12 737;0;15 757;3 092;;12 665;0;17 114;3 652;;13 462;0;16 232;3 188;;13 044;0;16 298;3 512;;12 786;0;15 080;3 433;;11 647;0;15 428;3 477;;11 950;0;16 797;3 383;;13 414;0;18 526;5 068;;13 458;0;187 276;38 574;0;148 701;1
г. Алматы;1 206 471;582 308;63 425;512 633;48 104;1 420 197;651 614;84 746;598 387;85 450;1 242 930;641 566;123 931;444 850;32 583;1 287 480;715 604;65 399;461 494;44 983;1 288 150;713 881;97 805;445 357;31 106;1 368 801;708 457;90 601;503 148;66 595;1 478 250;793 150;89 733;567 804;27 564;1 476 017;741 553;121 982;533 551;78 930;1 570 566;794 448;95 713;578 542;101 862;1 483 311;717 580;109 007;622 759;33 966;1 811 947;895 199;133 222;632 797;150 729;1 943 929;816 362;219 752;817 265;90 549;17 578 047;8 771 722;1 295 316;6 718 587;792 422
г. Астана;232 074;58 163;2 477;170 691;743;354 891;67 638;51 192;221 938;14 123;286 339;80 314;23 434;182 539;52;284 241;96 793;1 900;183 000;2 548;304 292;97 915;21 450;184 865;61;387 419;77 799;100 621;206 549;2 450;321 069;81 191;3 917;218 468;17 493;307 746;73 661;8 724;213 878;11 483;323 591;86 471;15 129;197 263;24 728;416 115;67 779;83 804;234 758;29 774;424 163;129 003;47 812;221 476;25 871;508 074;129 321;81 187;264 516;33 050;4 150 013;1 046 048;441 648;2 499 941;162 376
