Всего по республике:;1 744 848;805 004;56 727;797 452;85 665;1 810 209;853 810;69 789;865 978;20 632;2 201 971;803 340;68 294;1 294 090;36 246;2 463 410;779 704;63 878;1 552 451;67 378;2 533 355;934 168;86 659;1 470 396;42 132;2 526 307;840 154;92 630;1 552 388;41 135;2 640 100;714 943;68 384;1 779 526;77 247;2 817 271;885 951;92 448;1 640 717;198 154;2 576 844;989 093;61 656;1 487 201;38 895;2 687 681;897 879;70 224;1 608 316;111 263;2 950 429;938 601;73 796;1 831 685;106 347;3 764 049;1 183 812;241 825;1 998 167;340 244;30 716 473;10 626 459;1 046 310;17 878 367;1 165 337;;
Жетысу;19 982;6 422;0;13 560;0;22 872;6 690;0;16 182;0;28 306;7 439;;20 867;0;27 172;5 435;0;21 737;0;32 382;6 792;0;25 590;0;33 722;8 092;0;25 629;0;48 220;7 118;0;41 102;0;49 747;8 316;0;41 430;0;44 971;13 650;0;31 322;0;47 204;9 258;0;37 946;0;56 463;9 540;0;46 923;0;58 075;9 730;0;48 345;0;469 115;98 482;0;370 634;0;;
Западно-Казахстанская;43 068;23 840;0;19 227;0;42 667;21 703;0;20 964;0;54 668;23 143;0;31 525;0;71 534;35 969;0;35 565;0;61 911;24 017;0;37 894;0;56 680;19 792;39;36 849;1;62 640;15 840;76;46 723;1;68 943;26 852;106;41 980;4;62 025;28 940;74;33 009;2;60 601;19 136;89;41 374;2;68 206;23 306;54;44 843;3;95 028;41 641;129;53 256;2;747 971;304 179;567;443 209;15;;
Карагандинская ;62 772;21 750;0;41 021;1;74 745;25 592;0;49 132;21;90 754;23 802;0;65 882;1 070;102 348;26 286;0;75 815;248;107 269;27 146;0;79 844;279;109 980;27 691;7;82 282;0;177 637;22 934;0;94 264;60 438;130 377;28 527;0;90 626;11 224;114 128;38 231;0;75 895;2;113 384;28 977;0;84 407;0;122 093;26 233;0;95 860;0;142 201;47 964;0;94 236;1;1 347 688;345 131;7;929 264;73 285;;
Костанайская;35 055;13 600;0;21 455;0;41 694;17 657;1;24 037;0;55 440;20 116;0;35 324;0;60 095;17 267;0;42 829;0;64 138;19 180;0;44 958;0;53 529;12 658;0;40 870;0;62 432;12 412;0;50 020;0;63 127;15 913;0;47 214;0;53 720;15 666;0;38 054;0;66 684;16 809;0;49 874;0;65 930;13 626;1;52 303;0;76 142;19 540;0;56 602;0;697 986;194 443;2;503 541;0;;
Кызылординская;28 688;8 223;0;20 465;0;32 195;9 190;0;23 004;0;37 728;7 694;0;30 033;0;42 134;7 464;0;34 670;0;47 334;8 877;628;37 830;0;48 506;8 834;0;39 672;0;61 495;8 141;566;52 788;0;49 720;8 551;0;41 168;0;49 428;17 199;0;32 229;0;47 293;8 928;0;38 365;0;55 394;9 322;0;46 071;0;61 805;10 558;0;51 247;0;561 719;112 982;1 193;447 543;0;;
Мангистауская;40 326;10 871;0;29 455;0;45 485;14 265;0;31 220;0;52 064;9 474;0;42 589;0;56 180;8 369;0;47 811;0;68 768;11 261;0;57 507;0;65 869;10 729;2 252;52 888;0;70 959;9 731;0;61 227;0;61 299;9 757;0;51 539;2;66 343;18 968;2 388;44 987;0;128 984;11 930;661;54 891;61 502;75 799;9 668;282;64 173;1 676;74 090;10 591;221;62 639;638;806 165;135 615;5 804;600 927;63 820;;
Павлодарская;46 753;24 875;0;21 879;0;51 975;25 767;0;26 208;0;60 890;23 148;0;37 742;0;65 812;21 674;450;43 688;0;65 030;22 919;0;42 111;0;65 607;22 527;0;43 079;0;71 793;22 236;0;49 557;0;73 291;24 068;0;49 223;0;71 186;32 212;490;38 483;0;74 723;27 015;454;47 254;0;81 711;26 494;0;55 217;0;77 793;27 183;0;50 611;0;806 565;300 118;1 395;505 052;0;;
Северо-Казахстанская;16 771;7 016;867;8 888;0;20 434;9 894;452;10 089;0;32 469;10 374;484;21 430;181;31 985;10 924;449;20 591;20;33 142;11 096;0;21 984;62;32 334;9 380;338;22 546;70;28 920;6 671;0;22 249;0;31 965;9 060;1 587;21 309;8;29 563;12 179;381;17 001;3;30 828;8 103;385;22 208;133;38 642;7 472;412;30 575;184;34 896;7 925;666;26 071;233;361 948;110 095;6 019;244 941;893;;
Туркестанская;21 962;4 571;0;17 391;0;26 620;4 563;0;22 056;1;32 642;4 104;;28 537;0;38 516;7 087;0;31 430;0;39 489;4 778;0;34 710;0;41 793;4 728;0;37 064;0;51 273;4 285;0;46 988;0;42 842;4 916;0;37 926;0;40 736;14 335;0;26 401;0;45 441;6 453;0;38 988;0;52 295;5 166;0;47 128;0;54 004;5 979;0;48 024;0;487 610;70 966;0;416 643;1;;
 Улытау;6 942;1 277;0;5 664;0;8 113;1 672;0;6 440;0;12 702;2 272;0;10 430;0;15 053;2 655;0;12 397;0;15 601;1 853;0;13 749;0;16 084;2 707;0;13 377;0;16 430;1 846;0;14 584;0;15 573;1 719;0;13 852;2;14 771;3 834;0;10 937;0;15 233;2 942;0;12 292;0;16 085;2 300;0;13 785;0;15 768;2 550;0;13 217;1;168 354;27 627;0;140 724;4;;
г. Алматы;955 198;517 686;53 643;304 723;79 146;930 616;547 719;64 846;298 155;19 896;1 113 172;534 429;54 855;504 476;19 413;1 243 783;489 496;54 834;637 284;62 168;1 200 652;609 206;65 420;489 170;36 856;1 226 668;556 381;58 790;572 748;38 748;1 174 787;470 538;58 037;629 540;16 672;1 455 352;606 141;75 444;587 468;186 299;1 264 428;578 462;50 616;612 434;22 915;1 258 977;573 588;53 465;593 722;38 202;1 390 413;633 225;61 601;643 355;52 233;1 935 593;782 817;111 231;706 884;334 660;15 149 637;6 899 688;762 781;6 579 959;907 209;;
г. Астана;157 869;60 531;6;92 389;4 943;158 565;47 857;2 404;107 703;601;214 224;40 821;12 031;145 981;15 390;230 434;52 709;3 935;172 519;1 271;276 519;75 432;19 738;179 369;1 981;267 601;54 707;30 087;182 024;783;257 529;46 433;8 846;202 194;55;257 178;41 295;8 755;206 936;192;261 958;74 891;5 158;172 717;9 192;266 531;58 851;12 934;187 783;6 963;336 751;66 003;9 052;215 014;46 682;526 009;87 693;126 801;311 410;105;3 211 170;707 223;239 749;2 176 040;88 157;;
г. Шымкент;79 435;24 895;61;53 091;1 389;94 103;30 780;68;63 255;0;109 421;22 154;70;87 195;2;115 595;19 887;75;94 825;808;127 188;23 500;1;101 594;2 094;130 883;22 640;1;108 173;69;151 872;20 099;1;131 706;66;132 450;23 885;65;108 500;0;136 385;29 239;64;100 568;6 513;138 085;25 549;66;108 403;4 067;152 986;20 865;65;127 255;4 800;174 032;30 483;63;138 883;4 603;1 542 436;293 976;600;1 223 449;24 411;;
;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;                             в том числе:;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
